=== PING TEST TO 192.168.20.1 ===
Timestamp: 2026-01-07 15:57:48
Test duration: 50 packets

PING 192.168.20.1 (192.168.20.1) 56(84) bytes of data.
64 bytes from 192.168.20.1: icmp_seq=1 ttl=64 time=0.462 ms
64 bytes from 192.168.20.1: icmp_seq=2 ttl=64 time=0.261 ms
64 bytes from 192.168.20.1: icmp_seq=3 ttl=64 time=0.252 ms
64 bytes from 192.168.20.1: icmp_seq=4 ttl=64 time=0.363 ms
64 bytes from 192.168.20.1: icmp_seq=5 ttl=64 time=0.277 ms
64 bytes from 192.168.20.1: icmp_seq=6 ttl=64 time=0.366 ms
64 bytes from 192.168.20.1: icmp_seq=7 ttl=64 time=0.386 ms
64 bytes from 192.168.20.1: icmp_seq=8 ttl=64 time=0.416 ms
64 bytes from 192.168.20.1: icmp_seq=9 ttl=64 time=0.411 ms
64 bytes from 192.168.20.1: icmp_seq=10 ttl=64 time=0.226 ms
64 bytes from 192.168.20.1: icmp_seq=11 ttl=64 time=0.394 ms
64 bytes from 192.168.20.1: icmp_seq=12 ttl=64 time=0.391 ms
64 bytes from 192.168.20.1: icmp_seq=13 ttl=64 time=0.319 ms
64 bytes from 192.168.20.1: icmp_seq=14 ttl=64 time=0.314 ms
64 bytes from 192.168.20.1: icmp_seq=15 ttl=64 time=0.283 ms
64 bytes from 192.168.20.1: icmp_seq=16 ttl=64 time=0.308 ms
64 bytes from 192.168.20.1: icmp_seq=17 ttl=64 time=0.322 ms
64 bytes from 192.168.20.1: icmp_seq=18 ttl=64 time=0.330 ms
64 bytes from 192.168.20.1: icmp_seq=19 ttl=64 time=0.340 ms
64 bytes from 192.168.20.1: icmp_seq=20 ttl=64 time=0.345 ms
64 bytes from 192.168.20.1: icmp_seq=21 ttl=64 time=0.279 ms
64 bytes from 192.168.20.1: icmp_seq=22 ttl=64 time=0.312 ms
64 bytes from 192.168.20.1: icmp_seq=23 ttl=64 time=0.278 ms
64 bytes from 192.168.20.1: icmp_seq=24 ttl=64 time=0.299 ms
64 bytes from 192.168.20.1: icmp_seq=25 ttl=64 time=0.324 ms
